age,gender,education,marital_status,num_dependents,income,employment_type,employment_years,credit_score,existing_loans,monthly_expenses,savings_balance,previous_defaults,has_co_applicant,loan_amount,loan_term_months,property_value,loan_purpose,loan_approved
39,Male,Bachelor,Single,1,,Freelancer,11.0,762.0,1,5130.0,2891.0,0,1,311530.0,120,551594.0,Home,1
33,Male,High School,Single,0,45596.0,Freelancer,1.0,699.0,1,1755.0,,0,1,102247.0,60,217042.0,Personal,0
41,Male,Master,Married,1,41369.0,Self-Employed,,735.0,1,2282.0,498.0,0,0,89216.0,36,153202.0,Business,0
50,Male,Bachelor,Married,2,43330.0,Self-Employed,,620.0,2,,2692.0,0,0,104978.0,240,237885.0,Home,0
32,Male,Bachelor,Single,1,110200.0,Salaried,6.0,707.0,1,4657.0,13246.0,0,0,91855.0,180,139805.0,Education,1
32,Female,High School,Married,4,63905.0,Self-Employed,3.0,707.0,1,3541.0,12461.0,0,0,62338.0,48,132201.0,Home,1
50,Female,Bachelor,Married,2,85932.0,Freelancer,8.0,624.0,0,4492.0,64406.0,0,1,147316.0,360,200733.0,Home,1
42,Female,Master,Married,0,48741.0,Salaried,3.0,760.0,1,1446.0,,0,0,79328.0,48,,Education,0
30,Male,Bachelor,Single,0,49994.0,Salaried,1.0,528.0,1,1685.0,617.0,2,1,48039.0,12,73395.0,Education,0
40,Male,PhD,Married,1,60595.0,Salaried,12.0,696.0,0,2132.0,7916.0,0,0,133045.0,36,280006.0,Car,0
30,Male,PhD,Married,0,83707.0,Freelancer,8.0,576.0,2,3038.0,583.0,2,0,196938.0,48,434518.0,Personal,0
30,Female,High School,Single,2,36824.0,Self-Employed,4.0,598.0,0,2450.0,1669.0,0,0,43345.0,240,54016.0,Home,0
37,Female,High School,Married,1,82604.0,Self-Employed,1.0,758.0,1,3881.0,5561.0,0,0,105926.0,180,233235.0,Business,1
21,Female,Master,Single,1,50030.0,Freelancer,,,3,2451.0,9318.0,0,1,57200.0,48,82049.0,Education,0
21,Male,Bachelor,Single,2,14718.0,Freelancer,2.0,588.0,1,1209.0,2557.0,0,0,17610.0,180,33331.0,Education,0
29,Male,High School,Married,0,76248.0,Business Owner,2.0,726.0,1,2767.0,3271.0,0,0,107637.0,36,191853.0,Car,0
24,Male,Bachelor,Single,2,25947.0,Salaried,1.0,591.0,2,1796.0,1510.0,2,0,41585.0,240,78114.0,Home,0
38,Female,Bachelor,Divorced,0,,Self-Employed,4.0,761.0,2,2941.0,14684.0,1,1,109515.0,24,239058.0,Home,0
25,Female,Master,Married,2,65397.0,Freelancer,1.0,731.0,2,3987.0,693.0,0,0,111977.0,48,251609.0,Education,0
21,Female,High School,Divorced,3,49139.0,Salaried,0.0,617.0,3,3325.0,16075.0,0,0,100400.0,240,138164.0,Personal,0
49,Male,High School,Single,1,64333.0,Salaried,8.0,758.0,2,1834.0,,0,0,87509.0,60,112348.0,Home,1
32,Male,PhD,Married,2,84917.0,Salaried,4.0,524.0,3,,298.0,0,0,149330.0,240,168081.0,Education,0
35,Female,Master,Single,1,,Freelancer,6.0,717.0,1,1929.0,2968.0,0,0,57407.0,36,118200.0,Home,0
